                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0298,                 3.9061,                 4.3635,                0.00238,                0.16129,                0.00199,                0.00087,                 3.3415,                 4.2931,                 4.1589,                      0,                      0,                      0
                      2,                 3.7087,                 4.4987,                  4.533,                0.00238,                0.16129,                0.00215,                0.00091,                 3.3412,                  4.293,                 4.1589,               1.34e-05,               1.34e-05,               1.34e-05
                      3,                 3.5243,                 4.2148,                 4.3709,                0.00238,                0.16129,                0.00216,                0.00105,                 3.3409,                 4.2929,                 4.1589,               1.36e-05,               1.36e-05,               1.36e-05
